Code station	Nom station	Secteur de la station	AASQA	Code ZAS	Nom ZAS	Type ZAS	Région	Code commune	Commune	Population commune	Unité urbaine	Population unité urbaine	Type unité urbaine	Latitude	Longitude	NO2	PM10	PM2.5	SO2	O3	C6H6	CO	As dans les  PM10	BaP dans les PM10	Cd dans les PM10	Ni dans les PM10	Pb dans les PM10
FR29441	ST ETIENNE BD URBAIN 	urbaine	ATMO AUVERGNE-RHÔNE-ALPES	FR84ZAG03	ZAG SAINT-ETIENNE	ZAG	AUVERGNE-RHONE-ALPES	42218	 SAINT-ÉTIENNE 	173089	 SAINT-ÉTIENNE 	374068	agglomération	45,4479806	4,388763889	trafic	trafic										
FR30016	Hotel Districal	urbaine	ATMO GRAND EST	FR44ZAG03	ZAG NANCY	ZAG	GRAND EST	54395	 NANCY 	104885	 NANCY 	286565	agglomération	48,685856	6,175111	trafic					trafic						
FR30018	Remiremont	urbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	88383	 REMIREMONT 	7691	 REMIREMONT 	21453	agglomération	48,024605	6,585836	trafic				trafic							
FR30019	Epinal	urbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	88160	 ÉPINAL 	32223	 ÉPINAL 	61912	agglomération	48,17278	6,452811	fond	fond			fond				fond			
FR30020	Bar Le Duc	urbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	55029	 BAR-LE-DUC 	14733	 BAR-LE-DUC 	17935	agglomération	48,77586	5,162789	fond	fond			fond							
FR30021	Fléville	périurbaine	ATMO GRAND EST	FR44ZAG03	ZAG NANCY	ZAG	GRAND EST	54197	 FLÉVILLE-DEVANT-NANCY 	2238	 LUDRES 	8372	agglomération	48,621502	6,194922	fond	fond										
FR30026	Luneville	urbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	54329	 LUNÉVILLE 	18027	 LUNÉVILLE 	21697	agglomération	48,584824	6,4839	trafic		trafic									
FR30027	Frolois	urbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	54214	 FROLOIS 	703	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 54 	169508	rurale	48,565445	6,129578		industrielle		industrielle								
FR30028	Schlucht	rurale près des villes	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	88531	 XONRUPT-LONGEMER 	1522	 GÉRARDMER 	9324	agglomération	48,051117	7,011114	fond				fond							
FR30029	Vittel	périurbaine	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	88516	 VITTEL 	4951	 VITTEL 	4951	agglomération	48,19361	5,937222		fond										
FR30030	Neuves-Maisons	urbaine	ATMO GRAND EST	FR44ZAG03	ZAG NANCY	ZAG	GRAND EST	54397	 NEUVES-MAISONS 	6653	 NEUVES-MAISONS 	17825	agglomération	48,614914	6,107672		industrielle						industrielle		industrielle	industrielle	industrielle
FR30032	Heming	rurale près des villes	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	57314	 HÉMING 	498	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 57 	259517	rurale	48,694725	6,965275	industrielle	industrielle		industrielle								
FR30033	Jonville en Woevre	rurale régionale	ATMO GRAND EST	FR44ZRE01	ZR GRAND-EST	ZRE	GRAND EST	55256	 JONVILLE-EN-WOËVRE 	148	 COMMUNES HORS UNITÉ URBAINE DU DÉPARTEMENT 55 	109390	rurale	49,06583	5,785556	fond	fond	fond	fond	fond							
FR30034	Nancy-Charles III	urbaine	ATMO GRAND EST	FR44ZAG03	ZAG NANCY	ZAG	GRAND EST	54395	 NANCY 	104885	 NANCY 	286565	agglomération	48,68817	6,190431	fond	fond	fond	fond	fond							
FR30036	Nancy-Libération	urbaine	ATMO GRAND EST	FR44ZAG03	ZAG NANCY	ZAG	GRAND EST	54395	 NANCY 	104885	 NANCY 	286565	agglomération	48,69708	6,154194	trafic		trafic									
FR30037	Nancy-Brabois 2	périurbaine	ATMO GRAND EST	FR44ZAG03	ZAG NANCY	ZAG	GRAND EST	54578	 VILLERS-LÈS-NANCY 	14558	 NANCY 	286565	agglomération	48,656944	6,136022	fond				fond							
FR31001	GRAND PARC	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAG01	ZAG BORDEAUX	ZAG	NOUVELLE-AQUITAINE	33063	 BORDEAUX 	257068	 BORDEAUX 	969897	agglomération	44,86139	-0,579444	fond	fond			fond							
FR31002	TALENCE	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAG01	ZAG BORDEAUX	ZAG	NOUVELLE-AQUITAINE	33522	 TALENCE 	42701	 BORDEAUX 	969897	agglomération	44,800556	-0,588056	fond	fond	fond		fond				fond			
FR31003	BORDEAUX-BASTIDE	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAG01	ZAG BORDEAUX	ZAG	NOUVELLE-AQUITAINE	33063	 BORDEAUX 	257068	 BORDEAUX 	969897	agglomération	44,849724	-0,543889	trafic	trafic										
FR31006	MERIGNAC	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAG01	ZAG BORDEAUX	ZAG	NOUVELLE-AQUITAINE	33281	 MÉRIGNAC 	70813	 BORDEAUX 	969897	agglomération	44,84139	-0,65	trafic	trafic										
FR31007	BASSENS	urbaine	ATMO NOUVELLE-AQUITAINE	FR75ZAG01	ZAG BORDEAUX	ZAG	NOUVELLE-AQUITAINE	33032	 BASSENS 	7404	 BORDEAUX 	969897	agglomération	44,900276	-0,514722	fond	fond	fond	industrielle	fond	fond		industrielle		industrielle	industrielle	industrielle
